Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Артюх,Алла,Михайлівна,Жіноча,13.03.1973,Електромонтер,селище Миколаїв,"парк 12-та ст. Великого Фонтану пляж, буд. 7, Золотоноша, 16293",+380 21 999-97-47,panteleimontelychenko@example.org
Орлик,Златослава,Сергіївна,Жіноча,03.06.1995,Історик,селище Бурштин ,"проспект Парковий, буд. 78 кв. 215, Радивилів, 43189",+380 48 834-29-27,orynabashpolchenko@example.org
Вівчаренко,Святослава,Андріївна,Жіноча,21.02.2007,Золотар,село Білицьке,"проспект Новоберегова, буд. 0, Суми, 76946",725 02 66,rubanhavrylo@example.org
Тягнибок,Марта,Олександрівна,Жіноча,13.09.1977,Штукатур,хутір Старий Крим,"набережна Покровський, буд. 771 кв. 551, Вашківці, 79236",588-37-10,bohdannadanylchuk@example.com
Чабан,Розалія,Іванівна,Жіноча,22.11.1977,Гірник,село Дубно,"площа Тролейбусна, буд. 4 кв. 040, Глобине, 93701",053 513 40 12,symonenkoiarema@example.org
Сірко,Ольга,Петрівна,Жіноча,16.09.1998,Фольклорист,хутір Охтирка,"сквер Пугачова, буд. 2, Часів Яр, 92242",871 97 72,marianagereta@example.net
Даценко,Христина,Сергіївна,Жіноча,08.04.1999,Музикознавець,селище Куп'янськ,"шосе Акордна, буд. 4, Подільськ, 32735",+380 72 653 79 52,anastasiiakashchenko@example.org
Оробець,Ірена,Андріївна,Жіноча,15.09.1981,Петрограф,селище Новодністровськ,"проспект Миколи Бажана, буд. 0, Тетіїв, 61897",+380 94 554-36-51,hohol-ianovskyihavrylo@example.net
Шаблій,Людмила,Андріївна,Жіноча,10.12.2005,Співак,місто Мена ,"узвіз Машинобудівний, буд. 777, Мелітополь, 63402",018 031-24-56,mariana46@example.org
Пʼятаченко,Богуслава,Вікторівна,Жіноча,12.12.1977,Провізор,село Залізне,"площа Василя Симоненка, буд. 45, Тальне, 77215",+380 33 258 80 82,serhiivasylenko@example.org
Козаченко,Данна,Федорівна,Жіноча,22.12.1997,Електрик,селище Щолкіне,"набережна Дунаєва, буд. 4, Пирятин, 14151",077 007 65 05,babenkofedir@example.com
Єрошенко,Михайлина,Михайлівна,Жіноча,07.09.1968,Скульптор,хутір Таврійськ,"проспект Рульовий, буд. 40, Старокостянтинів, 14061",+380 (11) 688-44-84,ielysaveta56@example.net
Дробаха,Ліза,Петрівна,Жіноча,06.01.1961,Візажист,село Кам'янка-Дніпровська,"проспект Державіна, буд. 73 кв. 931, Покров, 67814",128 19 73,tarasenkoielysei@example.net
Жарко,Аліна,Сергіївна,Жіноча,21.09.1949,Дерун,селище Біла Церква,"узвіз Романа Кармена, буд. 8, Вільногірськ, 20642",+380 01 295-57-18,sachenkoalla@example.net
Бгиденко,Ольга,Михайлівна,Жіноча,03.04.1959,Архітектор,місто Ровеньки,"набережна Танкістів, буд. 553, Заставна, 42716",+380 57 137-36-75,demian69@example.com
Ващенко-Захарченко,Соломія,Дмитрівна,Жіноча,23.12.1967,Електромонтер,хутір Тараща,"парк Новікова 2-га, буд. 51 кв. 5, Путивль, 03146",+380 07 211 77 64,hresiustym@example.com
Артеменко,Марʼяна,Андріївна,Жіноча,06.04.1969,Медик,хутір Стебник,"вулиця Жаботинського, буд. 35 кв. 3, Моршин, 88891",+380 04 714 84 71,anita23@example.net
Піддубний,Данна,Федорівна,Жіноча,26.09.1983,Водій,село Ватутіне,"узвіз Разумовська, буд. 079, Добропілля, 38764",034 577 58 31,klutsenko@example.com
Базавлученко,Лариса,Володимирівна,Жіноча,14.09.1963,Ді-джей,селище Мерефа,"шосе Василя Кандинського 3-й, буд. 251, Часів Яр, 93605",+380 50 799-51-51,trokhym89@example.net
Дзиндра,Данна,Федорівна,Жіноча,06.07.1987,Музичний редактор,хутір Синельникове,"провулок Змієнка Всеволода, буд. 78, Новгород-Сіверський, 12741",070 306-57-40,gsimashkevych@example.org
Худяк,Наталія,Олександрівна,Жіноча,11.03.1964,Бухгалтер,село Кілія,"провулок Маринеско узвіз, буд. 5 кв. 756, Ічня, 05071",303-62-79,dmytro45@example.com
Туркало,Алла,Дмитрівна,Жіноча,25.03.1987,Підприємець,селище Каховка,"шосе Ільфа і Петрова, буд. 0 кв. 905, Полтава, 19484",089 489 94 93,anzhelakhmara@example.net
Рябченко,Богданна,Федорівна,Жіноча,29.04.1995,Кіноактор,село Малин,"площа Косяченка Олексія, буд. 033 кв. 9, Липовець, 68019",+380 04 957 95 95,oryna33@example.com
Пʼятаченко,Дарина,Вікторівна,Жіноча,25.01.1987,Співак,селище Кобеляки,"шосе Верф’яний, буд. 510 кв. 47, Бучач, 61933",841 63 59,markokarpenko@example.com
Колесниченко,Едита,Петрівна,Жіноча,18.08.1979,Біолог,селище Ужгород,"парк Уютна, буд. 9 кв. 81, Рава-Руська, 31878",+380 81 653-51-61,piatachenkonadiia@example.org
Затула,Орина,Іванівна,Жіноча,27.07.2002,Конструктор,селище Судак ,"набережна Лавкова, буд. 5, Андрушівка, 21469",751-18-93,vasylzaiets@example.com
Михалюк,Марта,Олександрівна,Жіноча,30.10.2002,Конструктор,село Калинівка ,"площа Західний 4-й, буд. 31, Привілля, 76631",023-49-22,adatovstukha@example.net
Бевз,Златослава,Михайлівна,Жіноча,25.04.1970,Географ,місто Бурштин ,"сквер Чорноморська, буд. 9, Старобільськ, 02897",025 360 78 55,teodor96@example.com
Скопенко,Віолетта,Михайлівна,Жіноча,15.01.1959,Мікробіолог,селище Чортків,"сквер Радіальний, буд. 313, Харків, 13027",092 455 56 92,vudovenko@example.com
Сиротенко,Єлисавета,Федорівна,Жіноча,15.01.1994,Юрист,селище Соснівка ,"провулок Косий, буд. 3 кв. 928, Белз, 95047",044 191-89-84,tryhubpanteleimon@example.org
Ковалюк,Валентина,Іванівна,Жіноча,28.10.1968,Мистецтвознавець,хутір Рогатин,"шосе Колонтаївська, буд. 9 кв. 804, Нова Одеса, 06192",+380 (99) 127-50-07,tsarenkoielysei@example.net
Данькевич,Василина,Дмитрівна,Жіноча,19.01.1978,Футболіст,місто Кипуче,"шосе Лінія 32-га, буд. 540 кв. 695, Бориспіль, 73922",541 73 59,echuiko@example.net
Шутько,Олена,Олександрівна,Жіноча,25.06.1999,Музичний редактор,село Сміла,"площа Чорноморський, буд. 238, Зимогір'я, 04257",055 248-84-41,tsybulenkoleopold@example.com
Артимович,Аніта,Володимирівна,Жіноча,30.12.1962,Дантист,хутір Новомиргород,"шосе Баркасний, буд. 46 кв. 6, Алчевськ, 54027",+380 46 868-24-92,shutkomyroslav@example.com
Гавришкевич,Софія,Володимирівна,Жіноча,18.09.1991,Публіцист,місто Миргород,"вулиця Коблевська, буд. 87 кв. 8, Тернівка , 18257",+380 44 264-35-16,sviatoslavtsushko@example.org
Вівчаренко,Тереза,Петрівна,Жіноча,29.04.1975,Пекар,селище Монастирище,"провулок Травневий 2-й, буд. 16 кв. 7, Липовець, 18281",082 673-54-42,marusiatsarenko@example.net
Данченко,Марта,Михайлівна,Жіноча,07.01.1998,Медик,селище Лубни,"площа Заводська 1-ша, буд. 736, Мелітополь, 95082",+380 18 341-99-41,okhrimtkach@example.com
Забіла,Софія,Федорівна,Жіноча,07.07.1999,Слідчий,селище Сімферополь,"проспект Ціолковського, буд. 355 кв. 658, Вінниця, 50093",+380 (91) 712-17-47,levchenkoanita@example.net
Талан,Марія,Петрівна,Жіноча,17.07.1964,Слідчий,місто Перемишляни,"узвіз Сергія Уточкіна, буд. 64 кв. 87, Ржищів, 20522",+380 (93) 863-46-59,miroshnychenkohlib@example.com
Захаренко,Пріска,Федорівна,Жіноча,12.01.1946,Електромонтажник,місто Львів,"шосе Дігтярна, буд. 14, Глобине, 25326",006 370-50-93,kalchenkoklyment@example.com
Павличенко,Світлана,Петрівна,Жіноча,03.02.1969,Штукатур,хутір Маріуполь,"набережна Агрономічна, буд. 24, Вовчанськ, 33102",+380 90 623-94-61,poltavetssvitlana@example.net
Давиденко,Дарина,Володимирівна,Жіноча,02.07.1960,Кінолог,місто Жданівка,"проспект Студентський 4-й, буд. 890 кв. 2, Горішні Плавні, 81181",+380 (96) 716-26-14,izhakheorhii@example.com
Сагаль,Віра,Федорівна,Жіноча,28.10.2002,Адвокат,село Хорол ,"набережна Амурський 3-й, буд. 96 кв. 1, Василівка , 62033",647 75 15,adam02@example.org
Гречаник,Дарина,Дмитрівна,Жіноча,28.12.1955,Редактор,село Буча,"узвіз Восьмого березня узвіз, буд. 5 кв. 659, Костянтинівка, 19331",810-12-64,boleslavshtepa@example.org
Корсун,Марина,Федорівна,Жіноча,26.05.1973,Біолог,хутір Залізне,"набережна Зоопаркова, буд. 454, Мерефа, 91748",+380 58 378-19-28,stefan38@example.net
Фурс,Віолетта,Сергіївна,Жіноча,28.12.1939,Графік,село Докучаєвськ,"площа Крижанівський, буд. 53 кв. 578, Щолкіне, 53900",000 132-92-98,snizhanachornovil@example.org
Гаврилів,Лариса,Дмитрівна,Жіноча,17.09.1998,Бізнесмен,хутір Обухів,"проспект Березова, буд. 7 кв. 83, Гребінка, 40614",+380 00 669-77-30,fedir31@example.net
Тягнибок,Богданна,Андріївна,Жіноча,28.03.1987,Ґрунтознавець,місто Новгород-Сіверський,"парк Купріна, буд. 035 кв. 297, Радомишль, 75094",+380 50 552 39 40,adamiurchyshyn@example.net
Гупало,Аліна,Петрівна,Жіноча,15.01.1965,Клавішник,хутір Золотоноша,"шосе Рівності, буд. 4, Селидове, 24206",+380 84 636-53-49,les70@example.org
Венгринович,Віолетта,Володимирівна,Жіноча,02.09.2000,Секретар,місто Прип'ять ,"шосе Садова 1-ша, буд. 5, Кропивницький, 10117",116-98-19,giukhymenko@example.net
Бабійчук,Богуслава,Олександрівна,Жіноча,11.10.1962,Електрослюсар,хутір Горохів,"площа Восьмого березня 2-й, буд. 61 кв. 4, Енергодар, 16403",193 68 92,uriabovil@example.net
Дерегус,Одарка,Федорівна,Жіноча,02.01.1960,Машиніст,місто Моршин,"парк Мечникова, буд. 72, Сміла, 39092",078 001-15-49,ieroshenkorostyslav@example.org
Чміль,Любов,Володимирівна,Жіноча,03.11.1984,Складальник,село Нове Давидково,"узвіз Платанова, буд. 6, Ямпіль, 52665",745-15-75,orkhypzaruba@example.net
Верхола,Тереза,Сергіївна,Жіноча,15.04.2004,Агроном,хутір Вознесенівка,"площа Амбулаторний, буд. 97 кв. 447, Костопіль, 82796",090-06-83,zarubamyron@example.net
Андрейко,Марія,Андріївна,Жіноча,14.04.1957,Адвокат,місто Нетішин,"провулок Лазурний 5-й, буд. 5 кв. 61, Ровеньки, 52863",+380 72 092-86-72,volodymyraustenko@example.net
Оберемко,Віолетта,Михайлівна,Жіноча,21.08.1989,Філолог,місто Надвірна,"сквер Преображенська, буд. 694 кв. 37, Погребище, 09784",119-73-55,dan11@example.com
Даньків,Аліна,Петрівна,Жіноча,11.01.1968,Маркетолог,місто Волноваха,"парк Маковий, буд. 6 кв. 09, Ірміно, 47156",356 13 75,iaroshnestor@example.org
Артимишин,Аліна,Федорівна,Жіноча,01.03.1998,Конструктор,селище Лозова ,"проспект Восьмого Березня Лінія 3-тя, буд. 9 кв. 03, Молодогвардійськ, 68296",+380 85 446-41-69,iukhymandriienko@example.net
Артюшенко,Оксана,Михайлівна,Жіноча,26.06.1951,Електротехнік,селище Могилів-Подільський,"узвіз Лунний, буд. 51, Кролевець, 40120",082 056 21 07,tiahnybokadam@example.org
Їжак,Наталія,Сергіївна,Жіноча,06.01.1983,Кінокритик,село Путивль,"шосе Костанді 2-й, буд. 14 кв. 84, Тараща, 90183",+380 21 706-25-10,amazur@example.net
Худяк,Людмила,Сергіївна,Жіноча,20.02.2003,Драматург,село Мар'їнка,"сквер 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 36 кв. 2, Судова Вишня, 43113",473-12-82,atroshchenkoserhii@example.net
Єрмоленко,Оксана,Вікторівна,Жіноча,10.01.1977,Випробувач,селище Кривий Ріг,"набережна Восьмого Березня Лінія 5-та, буд. 76 кв. 5, Любомль, 88012",995 56 68,larysashevchenko@example.net
Хорішко,Пріска,Вікторівна,Жіноча,30.06.1958,Сценарист,місто Новоселиця,"вулиця Каштанова, буд. 484 кв. 10, Сватове, 72294",075 650 75 53,pavlykiefrem@example.net
Данькевич,Златослава,Дмитрівна,Жіноча,08.06.1946,Гицель,село Кальміуське,"набережна Контрадмірала Луніна, буд. 09 кв. 008, Житомир, 10011",+380 56 806-77-16,zharkobohodar@example.net
Оліфіренко,Лариса,Володимирівна,Жіноча,01.08.1983,Флорист,селище Верхньодніпровськ,"парк Новоукраїнський, буд. 080 кв. 28, Українка , 11512",933-64-53,makar82@example.org
Євтушенко,Наталія,Іванівна,Жіноча,31.01.1980,Гірничий інженер,місто Білицьке,"площа Грецька, буд. 6, Олешки, 42042",+380 (89) 548-75-57,borys17@example.com
Величко,Роксолана,Вікторівна,Жіноча,31.08.1954,Каскадер,хутір Переяслав,"проспект Кавказький, буд. 2, Калинівка , 60303",099 029 78 03,oumanets@example.net
Вергун,Богуслава,Андріївна,Жіноча,08.06.1945,Мікробіолог,селище Червоносів,"провулок Гвардійська, буд. 88, Радивилів, 72024",+380 (94) 656-83-13,kyrylochupryna@example.org
Єресько,Клавдія,Андріївна,Жіноча,01.02.1948,Фізик,селище Южне,"проспект Дунайська, буд. 73, Борислав, 94227",036 853 49 06,vladyslav02@example.net
Талан,Клавдія,Федорівна,Жіноча,08.08.1956,Етнограф,хутір Прилуки,"провулок Черешнева, буд. 89, Гайворон, 02964",072 104 44 72,varfolomiionufriienko@example.net
Гавришкевич,Златослава,Володимирівна,Жіноча,01.01.2007,Бібліотекар,селище Бровари,"узвіз 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 63 кв. 6, Чигирин, 29952",003 755-42-11,hohol-ianovskyilevko@example.org
Ващук,Галина,Дмитрівна,Жіноча,05.10.1998,Історик,хутір Лутугине,"вулиця Вірського, буд. 60, Миколаїв, 86098",212-23-48,boryslav83@example.net
Адаменко,Орина,Іванівна,Жіноча,25.08.1973,Мистецтвознавець,село Кролевець,"сквер Рівності, буд. 0, Феодосія, 90425",091 536 30 08,andrii29@example.com
Удовиченко,Лариса,Іванівна,Жіноча,10.02.1994,Ґрунтознавець,село Інкерман,"узвіз Дачний 1-й, буд. 067, Золоте, 04609",588-33-37,pylypbaklan@example.com
Забашта,Ганна,Володимирівна,Жіноча,01.10.1947,Ботанік,село Хоростків,"набережна Платанова, буд. 06, Комарно, 17257",+380 11 964-52-27,allababii@example.org
Давимука,Тереза,Дмитрівна,Жіноча,17.10.1986,Співак,селище Саки ,"проспект Качалова, буд. 30, Заліщики, 92599",716 65 18,ezabila@example.com
Батіг,Людмила,Петрівна,Жіноча,13.11.1971,Програміст,село Географія Вільнянська,"парк Волна тупик, буд. 9, Городенка, 81484",+380 58 771-33-02,oleksateslenko@example.com
Ватаманюк,Тетяна,Володимирівна,Жіноча,05.05.2008,Няня,місто Іловайськ,"вулиця Восьмого березня, буд. 15 кв. 798, Кадіївка, 95849",094 398 74 43,hannakolesnychenko@example.org
Скорик,Едита,Дмитрівна,Жіноча,04.05.1953,Складальник,місто Кагарлик,"вулиця Скрипковий, буд. 5 кв. 071, Чистякове, 25339",015 370 16 92,csavenko@example.com
Стець,Маруся,Петрівна,Жіноча,27.08.1990,Секретар,місто Звенигородка,"сквер Кондрашина, буд. 255 кв. 700, Васильків, 63740",+380 45 469 76 66,zakharcharnysh@example.com
Гайденко,Валентина,Петрівна,Жіноча,27.09.1950,Лікар,місто Кременчук,"узвіз Газова, буд. 29, Новгород-Сіверський, 10510",083 285 19 51,serhiizarudnyi@example.net
Гайденко,Амалія,Михайлівна,Жіноча,23.01.2008,Економіст,місто Біла Церква,"сквер Квітковий, буд. 116 кв. 111, Чорноморськ, 80583",152 06 10,kalenychenkobohodar@example.net
Дрозд,Ярослава,Дмитрівна,Жіноча,13.07.1982,Ювелір,місто Вільнянськ,"проспект Суперфосфатна, буд. 0 кв. 6, Білозерське, 23880",732 62 03,spas26@example.org
Єрьоменко,Віолетта,Вікторівна,Жіноча,19.01.1980,Епідеміолог,місто Сіверськ,"набережна Академіка Ясиновського, буд. 7, Новомиргород, 55664",+380 (02) 191-72-21,darahanviacheslav@example.com
Гуцуляк,Пріска,Дмитрівна,Жіноча,09.10.1983,Патологоанатом,хутір Трускавець,"площа Одеська, буд. 7, Новодружеськ, 35143",075 816-26-35,rozaliia74@example.net
Барабаш,Михайлина,Дмитрівна,Жіноча,04.10.1977,Штукатур,село Святогірськ,"провулок Олександра Тимошенка, буд. 298, Судак , 74478",+380 87 213-28-06,amvrosiibaranets@example.net
Жадан,Марія,Володимирівна,Жіноча,04.02.1957,Патологоанатом,село Прип'ять ,"узвіз Нерубайська, буд. 916 кв. 33, Верхівцеве, 66304",981 48 59,mmykhailiuk@example.com
Шеремет,Ярослава,Михайлівна,Жіноча,17.08.1998,Зоолог,село Молодогвардійськ,"набережна Картамишевський, буд. 857 кв. 461, Вовчанськ, 48716",+380 (13) 058-57-08,klavdiia31@example.com
Батуринець,Анжела,Дмитрівна,Жіноча,16.11.1941,Гірник,місто Старокостянтинів,"площа Аполона Скальковського, буд. 4 кв. 765, Новояворівськ, 20675",063 618 93 03,hordii05@example.com
Смик,Едита,Вікторівна,Жіноча,17.11.1963,М'ясник,село Міусинськ,"набережна Астрономічна, буд. 28 кв. 09, Надвірна, 17948",+380 25 192 60 99,piaremko@example.com
Заруба,Валентина,Федорівна,Жіноча,07.08.1938,Штукатур,хутір Яремче,"набережна Гонтаренко, буд. 997 кв. 718, Монастирище, 84573",+380 (83) 137-28-85,svitlanadutka@example.net
Чекалюк,Ірина,Іванівна,Жіноча,13.07.1998,Няня,селище Дніпрорудне,"сквер Чорноморський 9-й, буд. 618, Мала Виска, 43152",055 527-54-31,albertdashkevych@example.net
Салій,Ада,Федорівна,Жіноча,12.08.1993,Детектив,хутір Корець,"шосе Станційна 3-тя, буд. 095, Дунаївці, 48909",+380 44 549 25 95,eduard87@example.net
Данькевич,Єлисавета,Сергіївна,Жіноча,12.05.1939,Скульптор,хутір Гайворон,"шосе Виноградна, буд. 26, Привілля, 53640",042 104-72-40,kavdieienko@example.org
Данько,Тереза,Петрівна,Жіноча,09.02.1982,Бухгалтер,селище Ізяслав,"узвіз Гвоздичний, буд. 3, Харків, 77734",+380 79 673-81-80,qandrusenko@example.org
Пелех,Тетяна,Федорівна,Жіноча,07.09.1991,Фармацевт,хутір Вилкове,"парк Проектна 2-га, буд. 00 кв. 93, Білогірськ, 05696",+380 (13) 470-55-54,iatseniukfrants@example.org
Ярема,Оксана,Михайлівна,Жіноча,08.10.2003,Дизайнер,місто Моспине,"вулиця Лїнія 1-ша, буд. 685 кв. 4, Борщів, 04158",032 370-53-58,iukhymteslia@example.net
Лукаш,Аніта,Іванівна,Жіноча,20.01.1978,Кіноактор,хутір Мостиська,"проспект Миколи Вороного, буд. 682, Кодима, 81195",086 445 92 86,zorian67@example.net
Аврамчук,Амалія,Володимирівна,Жіноча,27.06.1964,Композитор,хутір Скадовськ,"площа Лінія 46-та, буд. 610 кв. 23, Гуляйполе, 86222",+380 39 793-01-10,stepanmazepa@example.org
Чуприна,Надія,Олександрівна,Жіноча,18.11.1943,Фермер,хутір Лутугине,"проспект Братська, буд. 6 кв. 0, Молодогвардійськ, 31163",+380 18 022 94 20,rartiukh@example.org
Колодуб,Ада,Андріївна,Жіноча,19.02.1964,Детектив,село Донецьк,"набережна Якірний, буд. 838 кв. 414, Першотравенськ, 16132",415-95-03,trokhympalii@example.net
Масляк,Ганна,Федорівна,Жіноча,28.02.1981,Реабілітолог,хутір Новоазовськ,"вулиця Таїрова, буд. 83, Сокаль, 31672",+380 86 610-78-25,nataliiaderehus@example.com
Фартушняк,Марʼяна,Володимирівна,Жіноча,13.09.1959,Мовознавець,село Красноград,"вулиця Гладкова, буд. 0, Фастів, 34872",026 132-80-21,alevtyn57@example.com
Нестеренко,Клавдія,Олександрівна,Жіноча,06.03.1949,Ді-джей,село Сокаль,"узвіз Льва Толстого, буд. 58, Горішні Плавні, 67109",+380 (60) 680-02-31,edytagalagan@example.net
Короленко,Віолетта,Вікторівна,Жіноча,08.05.1981,Агроном,селище Голубівка,"узвіз Костанді 2-й, буд. 0, Новогродівка, 71556",035 626 40 23,hrechkoarkadii@example.com
Баклан,Віолетта,Іванівна,Жіноча,29.10.1947,Реставратор,місто Щастя ,"парк Аеропортівський 6-й, буд. 561 кв. 3, Копичинці, 89832",+380 04 267-48-41,zandrusenko@example.org
Данильчук,Юстина,Володимирівна,Жіноча,20.03.1994,Електромонтажник,село Рахів,"вулиця 11-та ст. Великого Фонтану пляж, буд. 1, Скалат, 17901",+380 93 315-05-84,tbaidak@example.com
Шведченко,Ірина,Іванівна,Жіноча,29.06.1939,Соціолог,селище Зборів,"сквер Водопровідний 2-й, буд. 68, Лебедин, 01722",+380 (67) 749-92-44,halynakalchenko@example.net
Петлюра,Володимира,Андріївна,Жіноча,19.09.1963,Науковець,хутір Дружківка,"узвіз Академічна, буд. 2, Тячів, 17262",087 678 58 21,trokhymshyian@example.com
Зайченко,Ірина,Володимирівна,Жіноча,02.02.1977,Палеонтолог,хутір Горішні Плавні,"проспект Посівна, буд. 9 кв. 995, Рава-Руська, 90800",066 179-94-12,alevtyn92@example.org
Байрак,Сніжана,Андріївна,Жіноча,15.08.1998,Круп'є,селище Яворів,"провулок Вишнева, буд. 185, Ізяслав, 39529",082-40-01,yskoryk@example.net
Козаченко,Ада,Володимирівна,Жіноча,07.09.1949,Євнух,хутір Нікополь,"проспект Лінія 50-та, буд. 151, Сімферополь, 32311",591-95-65,bvdovenko@example.net
